frame;detected_all;matched_all;total_ms_all;detect_ms_all;match_ms_all;detected_0;matched_0;total_ms_0;detect_ms_0;match_ms_0;detected_1;matched_1;total_ms_1;detect_ms_1;match_ms_1;detected_2;matched_2;total_ms_2;detect_ms_2;match_ms_2;detected_3;matched_3;total_ms_3;detect_ms_3;match_ms_3;
49;795;456;79.907;62.551;17.35653;27;17.427;15.257;2.17;245;127;22.962;17.592;5.37;247;149;18.906;14.265;4.641;250;153;20.612;15.437;5.175;
50;810;467;77.717;62.194;15.52368;38;15.758;14.025;1.733;242;130;21.571;16.979;4.592;250;148;20.81;15.98;4.83;250;151;19.578;15.21;4.368;
51;825;480;68.942;51.465;17.47780;43;10.483;8.626;1.857;246;136;18.055;13.564;4.491;249;147;20.926;14.57;6.356;250;154;19.478;14.705;4.773;
52;820;474;68.88;51.28;17.681;49;11.743;9.517;2.226;239;125;17.063;12.462;4.601;250;150;18.272;12.23;6.042;250;150;21.802;17.071;4.731;
53;834;461;69.999;53.027;16.97295;45;12.168;9.889;2.279;240;125;19.468;14.804;4.664;249;145;15.912;11.1;4.812;250;146;22.451;17.234;5.217;
54;825;473;80.189;61.29;18.89980;51;15.31;12.818;2.492;245;131;20.02;14.887;5.133;250;138;21.725;15.956;5.769;250;153;23.134;17.629;5.505;
55;820;471;67.807;50.947;16.8675;47;14.743;12.618;2.125;245;126;17.514;11.904;5.61;250;152;18.932;14.42;4.512;250;146;16.618;12.005;4.613;
56;811;464;66.453;50.481;15.97271;38;13.534;11.742;1.792;240;127;15.548;10.697;4.851;250;146;17.49;12.526;4.964;250;153;19.881;15.516;4.365;
57;813;452;58.271;42.305;15.96676;42;11.265;9.324;1.941;237;121;15.041;10.463;4.578;250;147;15.028;10.755;4.273;250;142;16.937;11.763;5.174;
58;820;479;69.954;52.48;17.47480;42;11.905;10.048;1.857;240;123;19.571;14.34;5.231;250;160;17.633;12.197;5.436;250;154;20.845;15.895;4.95;
59;812;478;64.904;48.752;16.15270;43;11.808;9.597;2.211;242;128;16.933;12.14;4.793;250;147;15.812;11.095;4.717;250;160;20.351;15.92;4.431;
60;814;453;62.692;47.01;15.68271;31;10.313;8.359;1.954;243;122;14.459;10.186;4.273;250;155;17.45;12.611;4.839;250;145;20.47;15.854;4.616;
61;820;472;62.776;46.57;16.20680;40;12.198;9.633;2.565;240;120;17.84;13.531;4.309;250;154;16.667;11.772;4.895;250;158;16.071;11.634;4.437;
62;805;466;63.041;48.559;14.48264;42;12.938;11.371;1.567;241;122;15.086;10.728;4.358;250;143;17.044;12.616;4.428;250;159;17.973;13.844;4.129;
63;806;465;62.308;45.05;17.25869;34;11.527;9.665;1.862;237;128;13.863;9.702;4.161;250;159;17.792;10.917;6.875;250;144;19.126;14.766;4.36;
64;788;466;76.905;54.538;22.36754;33;12.006;9.193;2.813;234;122;18.996;11.901;7.095;250;159;20.433;15.814;4.619;250;152;25.47;17.63;7.84;
65;794;477;77.391;61.713;15.67853;31;13.61;12.178;1.432;241;134;19.208;15.351;3.857;250;150;23.92;18.119;5.801;250;162;20.653;16.065;4.588;
66;808;466;64.773;46.036;18.73769;32;13.852;10.589;3.263;239;121;16.986;11.72;5.266;250;145;16.293;11.262;5.031;250;168;17.642;12.465;5.177;
67;795;459;68.59;49.852;18.73859;33;13.499;10.726;2.773;236;135;17.507;11.962;5.545;250;138;16.366;10.553;5.813;250;153;21.218;16.611;4.607;
68;814;452;69.991;49.162;20.82972;36;11.164;8.553;2.611;242;129;16.732;11.746;4.986;250;142;22.118;14.069;8.049;250;145;19.977;14.794;5.183;
69;822;458;71.961;53.631;18.3382;44;16.07;13.37;2.7;242;132;21.973;15.792;6.181;248;137;17.478;12.382;5.096;250;145;16.44;12.087;4.353;
70;797;474;76.44;58.064;18.37659;40;15.733;13.708;2.025;238;130;21.751;16.449;5.302;250;150;20.172;13.598;6.574;250;154;18.784;14.309;4.475;
71;785;470;74.392;55.936;18.45656;30;12.991;11.561;1.43;229;133;14.782;10.492;4.29;250;147;23.766;17.326;6.44;250;160;22.853;16.557;6.296;
72;805;475;71.03;53.432;17.59864;39;11.191;9.544;1.647;241;130;15.054;10.492;4.562;250;146;22.322;15.748;6.574;250;160;22.463;17.648;4.815;
73;804;466;64.271;48.111;16.1661;36;15.066;13.39;1.676;243;139;16.504;12.135;4.369;250;144;16.658;10.834;5.824;250;147;16.043;11.752;4.291;
74;797;449;61.367;46.304;15.06365;32;10.819;9.16;1.659;236;125;13.831;9.888;3.943;246;143;19.417;14.539;4.878;250;149;17.3;12.717;4.583;
75;795;463;57.191;42.808;14.38363;37;10.298;8.595;1.703;238;133;15.231;11.436;3.795;244;145;14.787;10.762;4.025;250;148;16.875;12.015;4.86;
